16:46:54.365484 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:58.428201 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:46:58.608923 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.367769 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.928849 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:00.365669 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:47:01.342994 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:47:01.343423 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:47:01.426673 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:01.545375 IP 192.168.139.142.48732 > 192.168.139.2.domain: 52543+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:47:01.550107 IP 192.168.139.2.domain > 192.168.139.142.48732: 52543 NXDomain 0/1/0 (114)
16:47:01.552079 IP 192.168.139.142.45297 > 192.168.139.144.microsoft-ds: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.731716 IP 192.168.139.144.1947 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731737 IP 192.168.139.144.1151 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731743 IP 192.168.139.144.4449 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731780 IP 192.168.139.144.webster > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731787 IP 192.168.139.144.8192 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731807 IP 192.168.139.144.1122 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731814 IP 192.168.139.144.15003 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731835 IP 192.168.139.144.90 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731863 IP 192.168.139.144.3 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731872 IP 192.168.139.144.9900 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731892 IP 192.168.139.144.1007 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731899 IP 192.168.139.144.9876 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731920 IP 192.168.139.144.4444 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731946 IP 192.168.139.144.2047 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731953 IP 192.168.139.144.5988 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731976 IP 192.168.139.144.time > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.731982 IP 192.168.139.144.2041 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732003 IP 192.168.139.144.5087 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732030 IP 192.168.139.144.9040 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732038 IP 192.168.139.144.8089 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732128 IP 192.168.139.144.9290 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732136 IP 192.168.139.144.30951 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732272 IP 192.168.139.144.2160 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732282 IP 192.168.139.144.snmp > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732314 IP 192.168.139.144.9944 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732351 IP 192.168.139.144.7937 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732373 IP 192.168.139.144.ms-sql-s > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732463 IP 192.168.139.144.5009 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732471 IP 192.168.139.144.9502 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732554 IP 192.168.139.144.3333 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732563 IP 192.168.139.144.7019 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732635 IP 192.168.139.144.5555 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732642 IP 192.168.139.144.2702 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732721 IP 192.168.139.144.2525 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732730 IP 192.168.139.144.13456 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732813 IP 192.168.139.144.2038 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732834 IP 192.168.139.144.545 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732900 IP 192.168.139.144.5811 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732908 IP 192.168.139.144.3370 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.732990 IP 192.168.139.144.50002 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.733000 IP 192.168.139.144.5357 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.733069 IP 192.168.139.144.5101 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.733077 IP 192.168.139.144.2301 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.734051 IP 192.168.139.142.45297 > 192.168.139.144.5000: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734113 IP 192.168.139.142.45297 > 192.168.139.144.xmpp-client: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734143 IP 192.168.139.142.45297 > 192.168.139.144.bpcd: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734171 IP 192.168.139.142.45297 > 192.168.139.144.212: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734178 IP 192.168.139.142.45297 > 192.168.139.144.1030: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734217 IP 192.168.139.142.45297 > 192.168.139.144.2196: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734244 IP 192.168.139.142.45297 > 192.168.139.144.1417: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734272 IP 192.168.139.142.45297 > 192.168.139.144.1145: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734279 IP 192.168.139.142.45297 > 192.168.139.144.1761: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734333 IP 192.168.139.142.45297 > 192.168.139.144.2701: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734341 IP 192.168.139.142.45297 > 192.168.139.144.49999: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734379 IP 192.168.139.142.45297 > 192.168.139.144.ftps: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734386 IP 192.168.139.142.45297 > 192.168.139.144.1287: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734423 IP 192.168.139.142.45297 > 192.168.139.144.3168: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734451 IP 192.168.139.142.45297 > 192.168.139.144.50500: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734458 IP 192.168.139.142.45297 > 192.168.139.144.211: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734513 IP 192.168.139.142.45297 > 192.168.139.144.2800: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734520 IP 192.168.139.142.45297 > 192.168.139.144.6969: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734558 IP 192.168.139.142.45297 > 192.168.139.144.32772: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734588 IP 192.168.139.142.45297 > 192.168.139.144.8082: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734595 IP 192.168.139.142.45297 > 192.168.139.144.15004: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734646 IP 192.168.139.142.45297 > 192.168.139.144.1126: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734654 IP 192.168.139.142.45297 > 192.168.139.144.3784: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734693 IP 192.168.139.142.45297 > 192.168.139.144.9220: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734719 IP 192.168.139.142.45297 > 192.168.139.144.4321: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734726 IP 192.168.139.142.45297 > 192.168.139.144.1310: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734778 IP 192.168.139.142.45297 > 192.168.139.144.10180: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734785 IP 192.168.139.142.45297 > 192.168.139.144.6699: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734832 IP 192.168.139.142.45297 > 192.168.139.144.8600: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734840 IP 192.168.139.142.45297 > 192.168.139.144.bgpd: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734862 IP 192.168.139.142.45297 > 192.168.139.144.144: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734869 IP 192.168.139.142.45297 > 192.168.139.144.7800: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734895 IP 192.168.139.142.45297 > 192.168.139.144.9929: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734901 IP 192.168.139.142.45297 > 192.168.139.144.222: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734922 IP 192.168.139.142.45297 > 192.168.139.144.8290: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734928 IP 192.168.139.142.45297 > 192.168.139.144.5959: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734954 IP 192.168.139.142.45297 > 192.168.139.144.5214: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734961 IP 192.168.139.142.45297 > 192.168.139.144.2869: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734984 IP 192.168.139.142.45297 > 192.168.139.144.8654: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.734991 IP 192.168.139.142.45297 > 192.168.139.144.msnp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735012 IP 192.168.139.142.45297 > 192.168.139.144.9595: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735018 IP 192.168.139.142.45297 > 192.168.139.144.whois: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735042 IP 192.168.139.142.45297 > 192.168.139.144.2399: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735048 IP 192.168.139.142.45297 > 192.168.139.144.zope-ftp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735069 IP 192.168.139.142.45297 > 192.168.139.144.3801: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735077 IP 192.168.139.142.45297 > 192.168.139.144.8087: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735099 IP 192.168.139.142.45297 > 192.168.139.144.999: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735105 IP 192.168.139.142.45297 > 192.168.139.144.8180: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735132 IP 192.168.139.142.45297 > 192.168.139.144.49400: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735138 IP 192.168.139.142.45297 > 192.168.139.144.5902: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.735178 IP 192.168.139.144.5000 > 192.168.139.142.45297: Flags [S.], seq 597178570, ack 1225517074, win 64240, options [mss 1460], length 0
16:47:02.735185 IP 192.168.139.144.xmpp-client > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735209 IP 192.168.139.144.bpcd > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735215 IP 192.168.139.144.212 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735252 IP 192.168.139.144.1030 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735258 IP 192.168.139.144.2196 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735278 IP 192.168.139.144.1417 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735285 IP 192.168.139.144.1145 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735307 IP 192.168.139.144.1761 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735335 IP 192.168.139.144.2701 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735342 IP 192.168.139.144.49999 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735363 IP 192.168.139.144.ftps > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735369 IP 192.168.139.144.1287 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735389 IP 192.168.139.144.3168 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735395 IP 192.168.139.144.50500 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735431 IP 192.168.139.144.211 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735440 IP 192.168.139.144.2800 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735461 IP 192.168.139.144.6969 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735468 IP 192.168.139.144.32772 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735489 IP 192.168.139.144.8082 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735515 IP 192.168.139.144.15004 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735522 IP 192.168.139.144.1126 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735541 IP 192.168.139.144.3784 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735548 IP 192.168.139.144.9220 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735568 IP 192.168.139.144.4321 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735595 IP 192.168.139.144.1310 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735602 IP 192.168.139.144.10180 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735640 IP 192.168.139.142.45297 > 192.168.139.144.5000: Flags [R], seq 1225517074, win 0, length 0
16:47:02.735714 IP 192.168.139.144.6699 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735724 IP 192.168.139.144.8600 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735797 IP 192.168.139.144.bgpd > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735805 IP 192.168.139.144.144 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735886 IP 192.168.139.144.7800 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735895 IP 192.168.139.144.9929 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735977 IP 192.168.139.144.222 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.735986 IP 192.168.139.144.8290 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736068 IP 192.168.139.144.5959 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736077 IP 192.168.139.144.5214 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736157 IP 192.168.139.144.2869 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736165 IP 192.168.139.144.8654 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736247 IP 192.168.139.144.msnp > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736256 IP 192.168.139.144.9595 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736353 IP 192.168.139.144.whois > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736361 IP 192.168.139.144.2399 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736458 IP 192.168.139.144.zope-ftp > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736474 IP 192.168.139.144.3801 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736562 IP 192.168.139.144.8087 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736570 IP 192.168.139.144.999 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736667 IP 192.168.139.144.8180 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736676 IP 192.168.139.144.49400 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736771 IP 192.168.139.144.5902 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.736947 IP 192.168.139.142.45297 > 192.168.139.144.1065: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.736959 IP 192.168.139.142.45297 > 192.168.139.144.8300: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737015 IP 192.168.139.142.45297 > 192.168.139.144.gris: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737048 IP 192.168.139.142.45297 > 192.168.139.144.8084: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737056 IP 192.168.139.142.45297 > 192.168.139.144.12000: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737098 IP 192.168.139.142.45297 > 192.168.139.144.683: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737107 IP 192.168.139.142.45297 > 192.168.139.144.3914: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737150 IP 192.168.139.142.45297 > 192.168.139.144.5440: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737158 IP 192.168.139.142.45297 > 192.168.139.144.proofd: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737203 IP 192.168.139.142.45297 > 192.168.139.144.9415: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737212 IP 192.168.139.142.45297 > 192.168.139.144.zebra: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737255 IP 192.168.139.142.45297 > 192.168.139.144.20222: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737263 IP 192.168.139.142.45297 > 192.168.139.144.1875: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737307 IP 192.168.139.142.45297 > 192.168.139.144.8045: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737315 IP 192.168.139.142.45297 > 192.168.139.144.enbd-cstatd: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737344 IP 192.168.139.142.45297 > 192.168.139.144.49165: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737368 IP 192.168.139.144.1065 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737375 IP 192.168.139.144.8300 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737419 IP 192.168.139.144.gris > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737428 IP 192.168.139.144.8084 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737452 IP 192.168.139.144.12000 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737483 IP 192.168.139.144.683 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737490 IP 192.168.139.144.3914 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737513 IP 192.168.139.144.5440 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737521 IP 192.168.139.144.proofd > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737560 IP 192.168.139.144.9415 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737568 IP 192.168.139.144.zebra > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737590 IP 192.168.139.144.20222 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737622 IP 192.168.139.144.1875 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737629 IP 192.168.139.144.8045 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737656 IP 192.168.139.144.enbd-cstatd > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737663 IP 192.168.139.144.49165 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.737703 IP 192.168.139.142.45297 > 192.168.139.144.2009: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737711 IP 192.168.139.142.45297 > 192.168.139.144.1935: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737736 IP 192.168.139.142.45297 > 192.168.139.144.3814: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737743 IP 192.168.139.142.45297 > 192.168.139.144.33: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737785 IP 192.168.139.142.45297 > 192.168.139.144.2557: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737794 IP 192.168.139.142.45297 > 192.168.139.144.6692: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737837 IP 192.168.139.142.45297 > 192.168.139.144.6565: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737846 IP 192.168.139.142.45297 > 192.168.139.144.discard: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737888 IP 192.168.139.142.45297 > 192.168.139.144.8333: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737896 IP 192.168.139.142.45297 > 192.168.139.144.5961: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737941 IP 192.168.139.142.45297 > 192.168.139.144.1036: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737949 IP 192.168.139.142.45297 > 192.168.139.144.1187: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.737993 IP 192.168.139.142.45297 > 192.168.139.144.1037: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738001 IP 192.168.139.142.45297 > 192.168.139.144.7625: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738043 IP 192.168.139.142.45297 > 192.168.139.144.iscsi-target: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738052 IP 192.168.139.142.45297 > 192.168.139.144.3071: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738100 IP 192.168.139.142.45297 > 192.168.139.144.1021: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738107 IP 192.168.139.142.45297 > 192.168.139.144.1117: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738149 IP 192.168.139.142.45297 > 192.168.139.144.2042: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738157 IP 192.168.139.142.45297 > 192.168.139.144.1998: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738201 IP 192.168.139.142.45297 > 192.168.139.144.5960: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738209 IP 192.168.139.142.45297 > 192.168.139.144.1461: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738250 IP 192.168.139.142.45297 > 192.168.139.144.9001: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738258 IP 192.168.139.142.45297 > 192.168.139.144.912: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738301 IP 192.168.139.142.45297 > 192.168.139.144.617: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738309 IP 192.168.139.142.45297 > 192.168.139.144.6666: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.738352 IP 192.168.139.142.45297 > 192.168.139.144.svn: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
