16:42:33.364744 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:34.584768 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:35.367527 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:36.364221 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:37.700042 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:42:37.700468 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:42:37.901792 IP 192.168.139.142.56367 > 192.168.139.2.domain: 51859+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:42:37.913834 IP 192.168.139.2.domain > 192.168.139.142.56367: 51859 NXDomain 0/1/0 (114)
16:42:37.915952 IP 192.168.139.142.56447 > 192.168.139.144.imap2: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.328833 IP 192.168.139.142.56447 > 192.168.139.144.30951: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.328861 IP 192.168.139.142.56447 > 192.168.139.144.6669: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.328867 IP 192.168.139.142.56447 > 192.168.139.144.3370: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.328902 IP 192.168.139.142.56447 > 192.168.139.144.2222: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.328933 IP 192.168.139.142.56447 > 192.168.139.144.4443: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.328963 IP 192.168.139.142.56447 > 192.168.139.144.ripd: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.328990 IP 192.168.139.142.56447 > 192.168.139.144.5952: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.328997 IP 192.168.139.142.56447 > 192.168.139.144.1077: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329033 IP 192.168.139.142.56447 > 192.168.139.144.1011: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329061 IP 192.168.139.142.56447 > 192.168.139.144.ldaps: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329068 IP 192.168.139.142.56447 > 192.168.139.144.3017: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329120 IP 192.168.139.142.56447 > 192.168.139.144.1046: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329127 IP 192.168.139.142.56447 > 192.168.139.144.1198: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329165 IP 192.168.139.142.56447 > 192.168.139.144.9003: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329192 IP 192.168.139.142.56447 > 192.168.139.144.cfinger: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329199 IP 192.168.139.142.56447 > 192.168.139.144.8500: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329222 IP 192.168.139.142.56447 > 192.168.139.144.7800: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329229 IP 192.168.139.142.56447 > 192.168.139.144.1086: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329249 IP 192.168.139.142.56447 > 192.168.139.144.667: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329256 IP 192.168.139.142.56447 > 192.168.139.144.10180: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329282 IP 192.168.139.142.56447 > 192.168.139.144.1217: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329288 IP 192.168.139.142.56447 > 192.168.139.144.echo: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329309 IP 192.168.139.142.56447 > 192.168.139.144.50636: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329315 IP 192.168.139.142.56447 > 192.168.139.144.5907: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329339 IP 192.168.139.142.56447 > 192.168.139.144.900: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329346 IP 192.168.139.142.56447 > 192.168.139.144.4343: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329367 IP 192.168.139.142.56447 > 192.168.139.144.3013: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329373 IP 192.168.139.142.56447 > 192.168.139.144.6839: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329394 IP 192.168.139.142.56447 > 192.168.139.144.3801: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329400 IP 192.168.139.142.56447 > 192.168.139.144.2200: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329422 IP 192.168.139.142.56447 > 192.168.139.144.5901: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329429 IP 192.168.139.142.56447 > 192.168.139.144.65129: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329451 IP 192.168.139.142.56447 > 192.168.139.144.44443: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329457 IP 192.168.139.142.56447 > 192.168.139.144.1666: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329477 IP 192.168.139.142.56447 > 192.168.139.144.3030: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329483 IP 192.168.139.142.56447 > 192.168.139.144.whois: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.329523 IP 192.168.139.144.52869 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329530 IP 192.168.139.144.3918 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329555 IP 192.168.139.144.8402 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329584 IP 192.168.139.144.afs3-prserver > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329591 IP 192.168.139.144.1688 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329611 IP 192.168.139.144.8899 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329617 IP 192.168.139.144.3168 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329637 IP 192.168.139.144.1233 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329644 IP 192.168.139.144.1580 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329680 IP 192.168.139.144.3371 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329687 IP 192.168.139.144.25734 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329709 IP 192.168.139.144.9220 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329715 IP 192.168.139.144.722 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329752 IP 192.168.139.144.1107 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329759 IP 192.168.139.144.1131 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329779 IP 192.168.139.144.34572 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329788 IP 192.168.139.144.1090 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329809 IP 192.168.139.144.2191 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329816 IP 192.168.139.144.44176 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329861 IP 192.168.139.144.10243 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329868 IP 192.168.139.144.3322 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329889 IP 192.168.139.144.tacacs > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329895 IP 192.168.139.144.30951 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329917 IP 192.168.139.144.6669 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329944 IP 192.168.139.144.3370 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329951 IP 192.168.139.144.2222 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329972 IP 192.168.139.144.4443 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.329978 IP 192.168.139.144.ripd > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330039 IP 192.168.139.142.56447 > 192.168.139.144.ingreslock: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.330055 IP 192.168.139.144.5952 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330061 IP 192.168.139.144.1077 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330128 IP 192.168.139.144.1011 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330134 IP 192.168.139.144.ldaps > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330224 IP 192.168.139.144.3017 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330234 IP 192.168.139.144.1046 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330298 IP 192.168.139.144.1198 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330305 IP 192.168.139.144.9003 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330379 IP 192.168.139.144.cfinger > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330388 IP 192.168.139.144.8500 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330464 IP 192.168.139.144.7800 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330473 IP 192.168.139.144.1086 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330550 IP 192.168.139.144.667 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330559 IP 192.168.139.144.10180 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330636 IP 192.168.139.144.1217 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330645 IP 192.168.139.144.echo > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330723 IP 192.168.139.144.50636 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330732 IP 192.168.139.144.5907 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330809 IP 192.168.139.144.900 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330818 IP 192.168.139.144.4343 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330895 IP 192.168.139.144.3013 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330904 IP 192.168.139.144.6839 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330981 IP 192.168.139.144.3801 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.330990 IP 192.168.139.144.2200 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331067 IP 192.168.139.144.5901 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331076 IP 192.168.139.144.65129 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331152 IP 192.168.139.144.44443 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331161 IP 192.168.139.144.1666 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331237 IP 192.168.139.144.3030 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331246 IP 192.168.139.144.whois > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331349 IP 192.168.139.144.ingreslock > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331395 IP 192.168.139.142.56447 > 192.168.139.144.52848: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331401 IP 192.168.139.142.56447 > 192.168.139.144.6156: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331447 IP 192.168.139.142.56447 > 192.168.139.144.3269: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331454 IP 192.168.139.142.56447 > 192.168.139.144.1259: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331494 IP 192.168.139.142.56447 > 192.168.139.144.9100: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331501 IP 192.168.139.142.56447 > 192.168.139.144.711: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331555 IP 192.168.139.144.52848 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331562 IP 192.168.139.144.6156 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331602 IP 192.168.139.144.3269 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331622 IP 192.168.139.142.56447 > 192.168.139.144.1049: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331628 IP 192.168.139.142.56447 > 192.168.139.144.afs3-kaserver: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331670 IP 192.168.139.142.56447 > 192.168.139.144.3766: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331678 IP 192.168.139.142.56447 > 192.168.139.144.49157: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331715 IP 192.168.139.142.56447 > 192.168.139.144.1183: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331722 IP 192.168.139.142.56447 > 192.168.139.144.7938: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331745 IP 192.168.139.142.56447 > 192.168.139.144.5859: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331772 IP 192.168.139.142.56447 > 192.168.139.144.3476: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331778 IP 192.168.139.142.56447 > 192.168.139.144.32780: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331799 IP 192.168.139.142.56447 > 192.168.139.144.62078: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331826 IP 192.168.139.142.56447 > 192.168.139.144.1971: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331832 IP 192.168.139.142.56447 > 192.168.139.144.8011: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.331886 IP 192.168.139.144.1259 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331893 IP 192.168.139.144.9100 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331932 IP 192.168.139.144.711 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331940 IP 192.168.139.144.1049 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331960 IP 192.168.139.144.afs3-kaserver > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.331981 IP 192.168.139.142.56447 > 192.168.139.144.10001: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332011 IP 192.168.139.142.56447 > 192.168.139.144.rsync: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332018 IP 192.168.139.142.56447 > 192.168.139.144.5280: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332055 IP 192.168.139.142.56447 > 192.168.139.144.x11-3: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332062 IP 192.168.139.142.56447 > 192.168.139.144.10566: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332083 IP 192.168.139.142.56447 > 192.168.139.144.1935: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332111 IP 192.168.139.142.56447 > 192.168.139.144.1072: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332118 IP 192.168.139.142.56447 > 192.168.139.144.10616: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332156 IP 192.168.139.142.56447 > 192.168.139.144.aol: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332164 IP 192.168.139.142.56447 > 192.168.139.144.5357: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332199 IP 192.168.139.142.56447 > 192.168.139.144.iprop: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332207 IP 192.168.139.142.56447 > 192.168.139.144.1048: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332244 IP 192.168.139.142.56447 > 192.168.139.144.3998: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332251 IP 192.168.139.142.56447 > 192.168.139.144.3351: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332289 IP 192.168.139.142.56447 > 192.168.139.144.15002: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332296 IP 192.168.139.142.56447 > 192.168.139.144.6580: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332337 IP 192.168.139.142.56447 > 192.168.139.144.2809: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332343 IP 192.168.139.142.56447 > 192.168.139.144.spamd: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332380 IP 192.168.139.142.56447 > 192.168.139.144.1244: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332387 IP 192.168.139.142.56447 > 192.168.139.144.16018: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332424 IP 192.168.139.142.56447 > 192.168.139.144.16080: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332431 IP 192.168.139.142.56447 > 192.168.139.144.25735: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332468 IP 192.168.139.142.56447 > 192.168.139.144.5998: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332474 IP 192.168.139.142.56447 > 192.168.139.144.3905: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332511 IP 192.168.139.142.56447 > 192.168.139.144.7741: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332518 IP 192.168.139.142.56447 > 192.168.139.144.1248: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332541 IP 192.168.139.142.56447 > 192.168.139.144.1083: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332568 IP 192.168.139.142.56447 > 192.168.139.144.3889: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332575 IP 192.168.139.142.56447 > 192.168.139.144.5911: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332611 IP 192.168.139.142.56447 > 192.168.139.144.1073: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332618 IP 192.168.139.142.56447 > 192.168.139.144.2998: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.332656 IP 192.168.139.144.3766 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332662 IP 192.168.139.144.49157 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332688 IP 192.168.139.144.1183 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332694 IP 192.168.139.144.7938 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332731 IP 192.168.139.144.5859 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332738 IP 192.168.139.144.3476 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332758 IP 192.168.139.144.32780 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332764 IP 192.168.139.144.62078 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332785 IP 192.168.139.144.1971 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332812 IP 192.168.139.144.8011 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332818 IP 192.168.139.144.10001 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332838 IP 192.168.139.144.rsync > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332845 IP 192.168.139.144.5280 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332867 IP 192.168.139.144.x11-3 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332894 IP 192.168.139.144.10566 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332900 IP 192.168.139.144.1935 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332923 IP 192.168.139.144.1072 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332929 IP 192.168.139.144.10616 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.332985 IP 192.168.139.142.56447 > 192.168.139.144.6969: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.333001 IP 192.168.139.144.aol > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333006 IP 192.168.139.144.5357 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333119 IP 192.168.139.144.iprop > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333182 IP 192.168.139.144.1048 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333245 IP 192.168.139.144.3998 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333254 IP 192.168.139.144.3351 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333331 IP 192.168.139.144.15002 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333340 IP 192.168.139.144.6580 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333417 IP 192.168.139.144.2809 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333426 IP 192.168.139.144.spamd > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333502 IP 192.168.139.144.1244 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333511 IP 192.168.139.144.16018 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333588 IP 192.168.139.144.16080 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333597 IP 192.168.139.144.25735 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333676 IP 192.168.139.144.5998 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333683 IP 192.168.139.144.3905 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333774 IP 192.168.139.144.7741 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333782 IP 192.168.139.144.1248 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333861 IP 192.168.139.144.1083 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333869 IP 192.168.139.144.3889 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333972 IP 192.168.139.144.5911 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.333981 IP 192.168.139.144.1073 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.334030 IP 192.168.139.144.2998 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.334037 IP 192.168.139.144.6969 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.337823 IP 192.168.139.142.56447 > 192.168.139.144.301: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.337887 IP 192.168.139.142.56447 > 192.168.139.144.2022: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.337895 IP 192.168.139.142.56447 > 192.168.139.144.65389: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.337949 IP 192.168.139.142.56447 > 192.168.139.144.bacula-fd: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.337956 IP 192.168.139.142.56447 > 192.168.139.144.6025: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.337995 IP 192.168.139.142.56447 > 192.168.139.144.255: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.338021 IP 192.168.139.142.56447 > 192.168.139.144.57294: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.338051 IP 192.168.139.142.56447 > 192.168.139.144.85: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.338058 IP 192.168.139.142.56447 > 192.168.139.144.4001: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.338096 IP 192.168.139.142.56447 > 192.168.139.144.1186: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.338125 IP 192.168.139.142.56447 > 192.168.139.144.2005: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.338152 IP 192.168.139.142.56447 > 192.168.139.144.33: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.338159 IP 192.168.139.142.56447 > 192.168.139.144.84: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
