17:11:35.898180 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:11:35.898660 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:11:36.100578 IP 192.168.5.129.43804 > 192.168.5.2.domain: 56286+ PTR? 130.5.168.192.in-addr.arpa. (44)
17:11:36.103965 IP 192.168.5.2.domain > 192.168.5.129.43804: 56286 NXDomain 0/0/0 (44)
17:11:36.105885 IP 192.168.5.129.58717 > 192.168.5.130.1723: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920089 IP 192.168.5.129.58717 > 192.168.5.130.1074: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920093 IP 192.168.5.129.58717 > 192.168.5.130.5101: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920117 IP 192.168.5.129.58717 > 192.168.5.130.1085: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920121 IP 192.168.5.129.58717 > 192.168.5.130.1141: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920144 IP 192.168.5.129.58717 > 192.168.5.130.58080: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920149 IP 192.168.5.129.58717 > 192.168.5.130.8290: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920174 IP 192.168.5.129.58717 > 192.168.5.130.4129: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920179 IP 192.168.5.129.58717 > 192.168.5.130.8300: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920203 IP 192.168.5.129.58717 > 192.168.5.130.1088: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920207 IP 192.168.5.129.58717 > 192.168.5.130.5004: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920259 IP 192.168.5.130.24800 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920285 IP 192.168.5.130.211 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920290 IP 192.168.5.130.3301 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920316 IP 192.168.5.130.2005 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920321 IP 192.168.5.130.60020 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920342 IP 192.168.5.130.30 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920346 IP 192.168.5.130.chargen > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920366 IP 192.168.5.130.1091 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920370 IP 192.168.5.130.1137 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920409 IP 192.168.5.129.58717 > 192.168.5.130.1031: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920413 IP 192.168.5.129.58717 > 192.168.5.130.44176: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920436 IP 192.168.5.129.58717 > 192.168.5.130.5961: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920440 IP 192.168.5.129.58717 > 192.168.5.130.5925: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920463 IP 192.168.5.129.58717 > 192.168.5.130.3995: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920468 IP 192.168.5.129.58717 > 192.168.5.130.1500: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920497 IP 192.168.5.129.58717 > 192.168.5.130.10617: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920502 IP 192.168.5.129.58717 > 192.168.5.130.ircd: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920524 IP 192.168.5.129.58717 > 192.168.5.130.snpp: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920528 IP 192.168.5.129.58717 > 192.168.5.130.146: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920552 IP 192.168.5.129.58717 > 192.168.5.130.5903: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920557 IP 192.168.5.129.58717 > 192.168.5.130.1078: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920580 IP 192.168.5.129.58717 > 192.168.5.130.2222: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920585 IP 192.168.5.129.58717 > 192.168.5.130.5915: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920607 IP 192.168.5.129.58717 > 192.168.5.130.32768: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920612 IP 192.168.5.129.58717 > 192.168.5.130.moira-update: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920659 IP 192.168.5.129.58717 > 192.168.5.130.2006: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920663 IP 192.168.5.129.58717 > 192.168.5.130.1039: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920686 IP 192.168.5.129.58717 > 192.168.5.130.1666: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920690 IP 192.168.5.129.58717 > 192.168.5.130.64623: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920735 IP 192.168.5.129.58717 > 192.168.5.130.888: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920739 IP 192.168.5.129.58717 > 192.168.5.130.3889: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.920776 IP 192.168.5.130.4111 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920824 IP 192.168.5.130.8089 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920856 IP 192.168.5.130.3878 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920863 IP 192.168.5.130.20000 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920891 IP 192.168.5.130.3322 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920900 IP 192.168.5.130.50000 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920927 IP 192.168.5.130.1148 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920936 IP 192.168.5.130.8443 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920963 IP 192.168.5.130.3261 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.920972 IP 192.168.5.130.1074 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921014 IP 192.168.5.129.58717 > 192.168.5.130.2160: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.921018 IP 192.168.5.129.58717 > 192.168.5.130.10024: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.921113 IP 192.168.5.130.5101 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921119 IP 192.168.5.130.1085 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921156 IP 192.168.5.130.1141 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921161 IP 192.168.5.130.58080 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921187 IP 192.168.5.130.8290 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921196 IP 192.168.5.130.4129 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921223 IP 192.168.5.130.8300 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921232 IP 192.168.5.130.1088 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921259 IP 192.168.5.130.5004 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921268 IP 192.168.5.130.1031 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921295 IP 192.168.5.130.44176 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921385 IP 192.168.5.130.5961 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921426 IP 192.168.5.130.5925 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921431 IP 192.168.5.130.3995 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921457 IP 192.168.5.130.1500 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921466 IP 192.168.5.130.10617 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921492 IP 192.168.5.130.ircd > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921499 IP 192.168.5.130.snpp > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921528 IP 192.168.5.130.146 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921538 IP 192.168.5.130.5903 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921565 IP 192.168.5.130.1078 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921574 IP 192.168.5.130.2222 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.921602 IP 192.168.5.130.5915 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923634 IP 192.168.5.130.32768 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923733 IP 192.168.5.130.moira-update > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923745 IP 192.168.5.130.2006 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923784 IP 192.168.5.130.1039 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923790 IP 192.168.5.130.1666 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923830 IP 192.168.5.130.64623 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923840 IP 192.168.5.130.888 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923871 IP 192.168.5.130.3889 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923878 IP 192.168.5.130.2160 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923902 IP 192.168.5.130.10024 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.923918 IP 192.168.5.129.58717 > 192.168.5.130.49167: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.923924 IP 192.168.5.129.58717 > 192.168.5.130.1095: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.923999 IP 192.168.5.129.58717 > 192.168.5.130.5009: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924012 IP 192.168.5.129.58717 > 192.168.5.130.svrloc: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924111 IP 192.168.5.129.58717 > 192.168.5.130.printer: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924123 IP 192.168.5.129.58717 > 192.168.5.130.254: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924161 IP 192.168.5.129.58717 > 192.168.5.130.5200: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924172 IP 192.168.5.129.58717 > 192.168.5.130.afs3-fileserver: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924239 IP 192.168.5.129.58717 > 192.168.5.130.3000: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924254 IP 192.168.5.129.58717 > 192.168.5.130.35500: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924297 IP 192.168.5.129.58717 > 192.168.5.130.nrpe: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924305 IP 192.168.5.129.58717 > 192.168.5.130.40911: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924385 IP 192.168.5.129.58717 > 192.168.5.130.5100: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924394 IP 192.168.5.129.58717 > 192.168.5.130.5730: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924423 IP 192.168.5.129.58717 > 192.168.5.130.700: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924428 IP 192.168.5.129.58717 > 192.168.5.130.8222: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924477 IP 192.168.5.129.58717 > 192.168.5.130.3052: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924481 IP 192.168.5.129.58717 > 192.168.5.130.9002: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924524 IP 192.168.5.129.58717 > 192.168.5.130.1108: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924528 IP 192.168.5.129.58717 > 192.168.5.130.6156: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924557 IP 192.168.5.129.58717 > 192.168.5.130.8873: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924561 IP 192.168.5.129.58717 > 192.168.5.130.1072: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924604 IP 192.168.5.129.58717 > 192.168.5.130.90: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924608 IP 192.168.5.129.58717 > 192.168.5.130.11111: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924652 IP 192.168.5.129.58717 > 192.168.5.130.8383: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924656 IP 192.168.5.129.58717 > 192.168.5.130.5000: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924680 IP 192.168.5.129.58717 > 192.168.5.130.3168: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924684 IP 192.168.5.129.58717 > 192.168.5.130.shell: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924731 IP 192.168.5.129.58717 > 192.168.5.130.8994: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924735 IP 192.168.5.129.58717 > 192.168.5.130.34573: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924770 IP 192.168.5.129.58717 > 192.168.5.130.3030: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924775 IP 192.168.5.129.58717 > 192.168.5.130.9415: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.924813 IP 192.168.5.130.49167 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.924881 IP 192.168.5.130.1095 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.924886 IP 192.168.5.130.5009 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.924938 IP 192.168.5.130.svrloc > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.924969 IP 192.168.5.130.printer > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925002 IP 192.168.5.130.254 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925037 IP 192.168.5.130.5200 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925087 IP 192.168.5.130.afs3-fileserver > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925096 IP 192.168.5.130.3000 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925150 IP 192.168.5.130.35500 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925157 IP 192.168.5.130.nrpe > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925212 IP 192.168.5.130.40911 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925228 IP 192.168.5.129.58717 > 192.168.5.130.ospfapi: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925231 IP 192.168.5.129.58717 > 192.168.5.130.32775: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925319 IP 192.168.5.129.58717 > 192.168.5.130.2910: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925328 IP 192.168.5.129.58717 > 192.168.5.130.8651: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925349 IP 192.168.5.129.58717 > 192.168.5.130.kx: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925352 IP 192.168.5.129.58717 > 192.168.5.130.3869: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925369 IP 192.168.5.129.58717 > 192.168.5.130.1556: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925371 IP 192.168.5.129.58717 > 192.168.5.130.10566: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925386 IP 192.168.5.129.58717 > 192.168.5.130.1027: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925389 IP 192.168.5.129.58717 > 192.168.5.130.1067: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925405 IP 192.168.5.129.58717 > 192.168.5.130.89: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925408 IP 192.168.5.129.58717 > 192.168.5.130.snmp: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925424 IP 192.168.5.129.58717 > 192.168.5.130.2068: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925427 IP 192.168.5.129.58717 > 192.168.5.130.1122: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925443 IP 192.168.5.129.58717 > 192.168.5.130.1272: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925447 IP 192.168.5.129.58717 > 192.168.5.130.2492: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925465 IP 192.168.5.129.58717 > 192.168.5.130.isakmp: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925468 IP 192.168.5.129.58717 > 192.168.5.130.27356: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.925494 IP 192.168.5.130.5100 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925513 IP 192.168.5.130.5730 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925515 IP 192.168.5.130.700 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925538 IP 192.168.5.130.8222 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925544 IP 192.168.5.130.3052 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925569 IP 192.168.5.130.9002 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925573 IP 192.168.5.130.1108 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925595 IP 192.168.5.130.6156 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925600 IP 192.168.5.130.8873 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925623 IP 192.168.5.130.1072 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925627 IP 192.168.5.130.90 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925649 IP 192.168.5.130.11111 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925654 IP 192.168.5.130.8383 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925732 IP 192.168.5.130.5000 > 192.168.5.129.58717: Flags [S.], seq 2842151146, ack 3836655586, win 17520, options [mss 1460], length 0
17:11:48.925738 IP 192.168.5.130.3168 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925761 IP 192.168.5.130.shell > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925765 IP 192.168.5.130.8994 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925784 IP 192.168.5.130.34573 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925788 IP 192.168.5.130.3030 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925807 IP 192.168.5.130.9415 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925811 IP 192.168.5.130.ospfapi > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925831 IP 192.168.5.130.32775 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925835 IP 192.168.5.130.2910 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925855 IP 192.168.5.130.8651 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925859 IP 192.168.5.130.kx > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925879 IP 192.168.5.130.3869 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.925883 IP 192.168.5.130.1556 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927547 IP 192.168.5.130.10566 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927564 IP 192.168.5.130.1027 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927604 IP 192.168.5.130.1067 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927608 IP 192.168.5.130.89 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927626 IP 192.168.5.130.snmp > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927630 IP 192.168.5.130.2068 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927647 IP 192.168.5.130.1122 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927650 IP 192.168.5.130.1272 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927670 IP 192.168.5.130.2492 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927674 IP 192.168.5.130.isakmp > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927698 IP 192.168.5.130.27356 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.927963 IP 192.168.5.129.58717 > 192.168.5.130.5000: Flags [R], seq 3836655586, win 0, length 0
17:11:48.927983 IP 192.168.5.129.58717 > 192.168.5.130.306: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928039 IP 192.168.5.129.58717 > 192.168.5.130.git: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928048 IP 192.168.5.129.58717 > 192.168.5.130.5822: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928087 IP 192.168.5.129.58717 > 192.168.5.130.617: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928098 IP 192.168.5.129.58717 > 192.168.5.130.27352: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928135 IP 192.168.5.129.58717 > 192.168.5.130.9575: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928143 IP 192.168.5.129.58717 > 192.168.5.130.time: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928180 IP 192.168.5.129.58717 > 192.168.5.130.987: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928191 IP 192.168.5.129.58717 > 192.168.5.130.9100: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928232 IP 192.168.5.129.58717 > 192.168.5.130.32778: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928238 IP 192.168.5.129.58717 > 192.168.5.130.8002: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928293 IP 192.168.5.129.58717 > 192.168.5.130.49999: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928298 IP 192.168.5.129.58717 > 192.168.5.130.1000: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928358 IP 192.168.5.129.58717 > 192.168.5.130.7937: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928363 IP 192.168.5.129.58717 > 192.168.5.130.3011: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928393 IP 192.168.5.129.58717 > 192.168.5.130.2034: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928398 IP 192.168.5.129.58717 > 192.168.5.130.5862: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928421 IP 192.168.5.129.58717 > 192.168.5.130.50300: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928425 IP 192.168.5.129.58717 > 192.168.5.130.1100: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928470 IP 192.168.5.129.58717 > 192.168.5.130.tproxy: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.928475 IP 192.168.5.129.58717 > 192.168.5.130.radius: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
